ts,price,Q,C,P_BE,phase,stage,H,F,tau,p_lock,next_ladder_idx,TP_base,btd_armed,sah_armed
2025-11-28 15:59:00+00:00,470.28,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:00:00+00:00,468.57,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:01:00+00:00,468.1,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:02:00+00:00,469.56,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:03:00+00:00,469.6,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:04:00+00:00,468.67,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:05:00+00:00,467.68,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:06:00+00:00,467.91,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:07:00+00:00,467.39,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:08:00+00:00,468.3,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:09:00+00:00,467.44,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:10:00+00:00,466.09,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:11:00+00:00,464.82,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:12:00+00:00,465.92,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:13:00+00:00,466.73,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:14:00+00:00,466.26,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:15:00+00:00,466.74,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:16:00+00:00,467.61,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:17:00+00:00,467.29,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:18:00+00:00,467.51,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:19:00+00:00,467.34,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:20:00+00:00,465.72,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:21:00+00:00,463.42,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:22:00+00:00,463.66,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:23:00+00:00,462.8,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:24:00+00:00,463.48,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:25:00+00:00,463.85,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:26:00+00:00,463.65,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:27:00+00:00,461.89,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:28:00+00:00,462.61,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:29:00+00:00,462.77,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:30:00+00:00,463.95,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:31:00+00:00,464.94,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:32:00+00:00,464.47,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:33:00+00:00,466.4,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:34:00+00:00,466.61,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:35:00+00:00,466.24,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:36:00+00:00,466.22,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:37:00+00:00,465.8,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:38:00+00:00,466.94,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:39:00+00:00,466.91,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:40:00+00:00,465.8,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:41:00+00:00,465.33,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:42:00+00:00,465.17,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
2025-11-28 16:43:00+00:00,465.63,0.0,0.0,,ACCUMULATE,0,,,0.0,0.0,1,,False,False
